"","X.1","X","id","tract","geo.id","sq.miles","area","median.income","total.income","income.quantile","total.pop","white.pop","white.ratio","bmp.installations","bmp.per.pop","bmp.per.sqmi","volume","impervious"
"144",144,144,144,9601,11001009601,0.8044534,2083524.73269691,22438,31190145,1,1599,221,0.138211382113821,39,0.0161157024793388,48.4801232737658,28962.08,NA
"145",145,145,145,9602,11001009602,0.53282125,1380000.70395183,23135.5,34651347,1,4119,308,0.0747754309298373,97,0.0301242236024845,182.04979624968,7474.27,NA
"146",146,146,146,9603,11001009603,0.24681539,639248.922423749,29205,54782066,2,2037,694,0.340697103583702,25,0.0075642965204236,101.290280156355,50465.37,NA
"147",147,147,147,9604,11001009604,0.21178946,548532.194925361,36056.5,42571608,2,2758,23,0.00833937635968093,11,0.00571428571428571,51.9383731371712,25523.46,NA
"148",148,148,148,9700,11001009700,0.15830455,410006.906521816,27242,41269716,1,2473,42,0.0169834209462192,16,0.00509391913403375,101.071005223792,3122.69,NA
"149",149,149,149,9801,11001009801,0.17318611,448549.968715114,25883.5,19048407,1,3072,56,0.0182291666666667,11,0.00707850707850708,63.5154863170031,43047.45,NA
"150",150,150,150,9802,11001009802,0.07750042,200725.165016534,23629,18186608,1,2507,15,0.00598324690865576,37,0.0220500595947557,477.41676754784,903.02,NA
"151",151,151,151,7807,11001007807,0.20222209,523752.819176796,25588,29022672,1,3410,1101,0.322873900293255,32,0.015180265654649,158.241861707591,33998.73,NA
"152",152,152,152,7808,11001007808,0.36693251,950350.839345495,24266,47655483,1,3933,1624,0.412916348843122,60,0.0167037861915367,163.517808765432,115243.46,NA
"153",153,153,153,7809,11001007809,0.20662337,535152.066889406,24953,41012846,1,1838,1442,0.784548422198041,20,0.00695652173913044,96.7944719902691,13603.04,NA
"154",154,154,154,7901,11001007901,0.15377372,398272.098442659,31673,68844302,2,6408,5146,0.803058676654182,36,0.0096514745308311,234.110223775558,36717.13,NA
"155",155,155,155,7903,11001007903,0.09366234,242584.352928883,39557,41719677,2,3211,58,0.0180629087511679,12,0.00686106346483705,128.119797135113,125923.22,NA
"156",156,156,156,8001,11001008001,0.1256733,325492.362612918,67249,126560393,4,3715,1632,0.439300134589502,32,0.0118474639022584,254.628469213429,5892.12,NA
